aargang,foedselsaar,koen,postnr,støtte_rv_2019,støtte_rv_2021
2021,2000,Mand,2100,1,1
2021,1999,Kvinde,4700,0,0
2021,2000,Kvinde,2300,1,0
2021,2000,Kvinde,1619,1,0
2021,1997,Mand,2300,0,0
2021,1999,Kvinde,1874,0,0
2021,2000,Mand,2400,0,0
2021,1998,Kvinde,2720,1,1
2021,1999,Mand,2100,0,0
2021,1999,Mand,2100,1,1
2021,2001,Kvinde,2000,0,0
2021,1999,Kvinde,2100,0,0
2021,1996,Kvinde,2300,1,0
2021,1998,Mand,2450,1,1
2021,1998,Kvinde,2300,1,0
2021,1998,Mand,2000,0,0
2021,1998,Mand,2100,0,0
2021,1998,Kvinde,2450,1,1
