Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Stemmeberettigede,GyldigeStemmer
430001,430001,48,6,2,1236,961
430002,430002,48,6,2,1052,747
430003,430003,48,6,2,1519,1148
430004,430004,48,6,2,829,616
430005,430005,48,6,2,96,82
430007,430007,48,6,2,6395,4688
430008,430008,48,6,2,1531,1205
430009,430009,48,6,2,1609,1127
430010,430010,48,6,2,90,67
430011,430011,48,6,2,1695,1299
430012,430012,48,6,2,1385,1018
430013,430013,48,6,2,1095,784
430014,430014,48,6,2,1107,794
430015,430015,48,6,2,5688,4086
430016,430016,48,6,2,840,652
430017,430017,48,6,2,1623,1135
430018,430018,48,6,2,1785,1230
430019,430019,48,6,2,1759,1356
430020,430020,48,6,2,2723,2053
430021,430021,48,6,2,1410,1071
430022,430022,48,6,2,3189,2432
440001,440001,46,6,2,1619,1259
440002,440002,46,6,2,5158,3812
440004,440004,46,6,2,1724,1309
440005,440005,46,6,2,1605,1208
440006,440006,46,6,2,3360,2475
440007,440007,46,6,2,4556,3331
450001,450001,46,6,2,1323,1014
450002,450002,46,6,2,6273,4367
450003,450003,46,6,2,5095,3745
450004,450004,46,6,2,2464,1852
450005,450005,46,6,2,814,598
450006,450006,46,6,2,2265,1676
450007,450007,46,6,2,386,296
450008,450008,46,6,2,453,363
450009,450009,46,6,2,702,533
450010,450010,46,6,2,1403,971
450011,450011,46,6,2,1067,835
450012,450012,46,6,2,1009,758
450013,450013,46,6,2,904,685
461001,461001,41,6,2,9224,5756
461002,461002,41,6,2,8081,5449
461003,461003,41,6,2,3096,2001
461004,461004,41,6,2,7882,5198
461005,461005,41,6,2,5384,3155
461006,461006,41,6,2,2167,1640
461007,461007,41,6,2,4419,3022
461009,461009,41,6,2,2589,1818
461011,461011,42,6,2,8153,5286
461012,461012,42,6,2,7747,4756
461013,461013,42,6,2,916,712
461014,461014,42,6,2,4828,3506
461016,461016,42,6,2,3168,2256
461017,461017,42,6,2,4963,3644
461018,461018,42,6,2,4483,3428
461019,461019,42,6,2,3668,2585
461020,461020,42,6,2,3602,2703
461021,461021,42,6,2,2259,1656
461023,461023,43,6,2,9819,6610
461024,461024,43,6,2,4139,3247
461025,461025,43,6,2,6140,4085
461026,461026,43,6,2,8326,6108
461028,461028,43,6,2,3822,2924
461029,461029,43,6,2,4879,3458
461030,461030,43,6,2,7030,4928
461031,461031,43,6,2,2455,1920
461032,461032,43,6,2,729,571
461033,461033,43,6,2,3871,2835
461035,461035,41,6,2,5506,2465
461036,461036,41,6,2,3581,2434
479001,479001,47,6,2,11402,7688
479002,479002,47,6,2,2631,1721
479003,479003,47,6,2,5163,3490
479004,479004,47,6,2,814,616
479005,479005,47,6,2,3125,2461
479006,479006,47,6,2,56,46
479007,479007,47,6,2,1965,1574
479008,479008,47,6,2,814,631
479009,479009,47,6,2,2018,1537
479010,479010,47,6,2,2750,2214
479011,479011,47,6,2,2211,1642
479014,479014,47,6,2,1011,781
479016,479016,47,6,2,1625,1219
479017,479017,47,6,2,1956,1367
479019,479019,47,6,2,2145,1607
479021,479021,47,6,2,954,711
479023,479023,47,6,2,1214,895
479025,479025,47,6,2,1103,802
479027,479027,47,6,2,1442,1104
480001,480001,45,6,2,3095,2266
480002,480002,45,6,2,746,540
480003,480003,45,6,2,1257,882
480004,480004,45,6,2,973,736
480005,480005,45,6,2,1558,1116
480006,480006,45,6,2,3910,2798
480007,480007,45,6,2,999,760
480008,480008,45,6,2,943,737
480009,480009,45,6,2,1075,778
480010,480010,45,6,2,1008,745
480011,480011,45,6,2,1990,1554
480012,480012,45,6,2,1175,860
480013,480013,45,6,2,3173,2184
482001,482001,47,6,2,802,543
482002,482002,47,6,2,1335,944
482003,482003,47,6,2,971,646
482005,482005,47,6,2,4076,2830
482006,482006,47,6,2,136,112
482007,482007,47,6,2,1425,968
482008,482008,47,6,2,531,394
482010,482010,47,6,2,920,651
492001,492001,48,6,2,2433,1737
492002,492002,48,6,2,1736,1233
492003,492003,48,6,2,920,649
510001,510001,61,7,2,2297,1630
510002,510002,61,7,2,679,495
510003,510003,61,7,2,218,142
510004,510004,61,7,2,286,200
510005,510005,61,7,2,2619,1895
510006,510006,61,7,2,2343,1614
510007,510007,61,7,2,3387,2186
510008,510008,61,7,2,3107,2272
510009,510009,61,7,2,1092,803
510010,510010,61,7,2,2383,1629
510011,510011,61,7,2,1843,1279
510012,510012,61,7,2,396,313
510013,510013,61,7,2,942,678
510014,510014,61,7,2,2060,1586
510015,510015,61,7,2,554,427
510016,510016,61,7,2,375,293
510017,510017,61,7,2,323,260
510018,510018,61,7,2,1230,945
510019,510019,61,7,2,1097,858
510020,510020,61,7,2,141,107
510021,510021,61,7,2,659,514
510022,510022,61,7,2,540,412
510024,510024,61,7,2,965,702
510025,510025,61,7,2,989,719
510026,510026,61,7,2,2711,1975
510028,510028,61,7,2,2549,1742
510029,510029,61,7,2,792,587
510030,510030,61,7,2,1148,886
510031,510031,61,7,2,401,309
510032,510032,61,7,2,543,426
510033,510033,61,7,2,880,623
510034,510034,61,7,2,447,326
510035,510035,61,7,2,632,482
510036,510036,61,7,2,1038,727
530001,530001,55,7,2,4687,3481
530002,530002,55,7,2,1682,1235
530003,530003,55,7,2,1606,1177
530004,530004,55,7,2,782,570
530005,530005,55,7,2,706,534
530006,530006,55,7,2,7985,5517
530007,530007,55,7,2,1532,1110
540001,540001,49,7,2,4382,3202
540002,540002,49,7,2,2116,1521
540003,540003,49,7,2,2796,2073
540004,540004,49,7,2,1906,1417
540005,540005,49,7,2,2962,2176
540006,540006,49,7,2,2467,1887
540007,540007,49,7,2,1887,1391
540008,540008,49,7,2,401,315
540009,540009,49,7,2,6418,4412
540010,540010,49,7,2,5603,3768
540011,540011,49,7,2,5679,3739
540012,540012,49,7,2,4419,3341
540013,540013,49,7,2,2340,1776
540014,540014,49,7,2,1381,1046
540015,540015,49,7,2,3417,2556
540016,540016,49,7,2,5916,4247
540017,540017,49,7,2,682,526
550001,550001,51,7,2,1433,1005
550002,550002,51,7,2,526,365
550003,550003,51,7,2,425,312
550004,550004,51,7,2,1333,960
550007,550007,51,7,2,456,326
550008,550008,51,7,2,864,674
550012,550012,51,7,2,2540,1747
550014,550014,51,7,2,990,690
550015,550015,51,7,2,593,431
550016,550016,51,7,2,668,477
550017,550017,51,7,2,1579,1147
550018,550018,51,7,2,553,418
550019,550019,51,7,2,404,295
550021,550021,51,7,2,510,358
550023,550023,51,7,2,3073,2243
550024,550024,51,7,2,771,556
550025,550025,51,7,2,6085,4185
550027,550027,51,7,2,824,610
550029,550029,51,7,2,748,546
550051,550051,51,7,2,437,327
550061,550061,51,7,2,2810,1930
550071,550071,51,7,2,496,363
561002,561002,52,7,2,10069,6317
561003,561003,52,7,2,2255,1358
561004,561004,52,7,2,3438,2321
561005,561005,52,7,2,4692,2959
561006,561006,52,7,2,4795,3277
561007,561007,52,7,2,3624,2472
561008,561008,53,7,2,1559,1157
561011,561011,52,7,2,3115,2200
561012,561012,53,7,2,2481,1813
561015,561015,52,7,2,5445,3993
561016,561016,53,7,2,5691,4203
561017,561017,53,7,2,1064,759
561020,561020,53,7,2,2499,1893
561021,561021,52,7,2,2802,1702
561022,561022,52,7,2,2613,1775
561023,561023,52,7,2,2966,2182
561024,561024,53,7,2,2813,2051
561025,561025,53,7,2,7853,5565
561028,561028,53,7,2,8519,5973
561032,561032,53,7,2,1480,1094
561033,561033,53,7,2,2061,1456
561035,561035,53,7,2,34,24
561038,561038,53,7,2,1231,856
561040,561040,53,7,2,2696,1838
563001,563001,52,7,2,2270,1728
563002,563002,52,7,2,258,210
573001,573001,54,7,2,10600,7136
573004,573004,54,7,2,826,648
573005,573005,54,7,2,570,433
573006,573006,54,7,2,636,480
573007,573007,54,7,2,1126,885
573008,573008,54,7,2,821,621
573009,573009,54,7,2,997,759
573010,573010,54,7,2,956,668
573013,573013,54,7,2,1755,1260
573014,573014,54,7,2,575,412
573015,573015,54,7,2,1163,868
573018,573018,54,7,2,2787,2062
573019,573019,54,7,2,434,350
573022,573022,54,7,2,896,670
573023,573023,54,7,2,1223,919
573024,573024,54,7,2,499,356
573026,573026,54,7,2,1066,790
573027,573027,54,7,2,800,562
573028,573028,54,7,2,1004,761
573030,573030,54,7,2,4407,3251
573031,573031,54,7,2,1501,1083
573032,573032,54,7,2,1387,1014
573033,573033,54,7,2,613,455
575001,575001,55,7,2,4120,2945
575002,575002,55,7,2,625,447
575003,575003,55,7,2,2683,1882
575004,575004,55,7,2,863,638
575005,575005,55,7,2,940,683
575006,575006,55,7,2,412,302
575007,575007,55,7,2,2635,1874
575008,575008,55,7,2,689,491
575009,575009,55,7,2,1871,1402
575010,575010,55,7,2,544,412
575011,575011,55,7,2,1327,981
575012,575012,55,7,2,339,265
575013,575013,55,7,2,612,465
575014,575014,55,7,2,6605,4544
